"","X","Proposal.Number","Project.Name","Project.Sector","Date.of.Submission","Submitted.by.Proponent","Query.for.Shortcoming.if.any..by.SEIAA","Resubmission.of.Proposal.by.Proponent.1","Accepted.by.SEIAA.and.forwarded.to.SEAC","Query.for.Shortcoming.if.any..by.SEAC","Resubmission.of.Proposal.by.Proponent.2","Accepted.by.SEAC","Forwarded.to.SEIAA.for.EC","EC.Letter.Uploaded.On.EC.Granted","Link"
"6106",6105,"SIA/GJ/IND2/20082/2014","Sun Industries","Industrial Projects - 2","12 Aug 2017","12/08/2017","","","29/08/2017","01/09/2017","28/09/2017","04/10/2017","15/02/2018","30/10/2018","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/20082/2014&type=EC&ID=37170"
"6107",6106,"SIA/GJ/NCP/67418/2017","H N N INFRA","INFRA-1","13 Aug 2017","13/08/2017","","","29/08/2017","","","04/09/2017","05/12/2017","19/12/2017","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/67418/2017&type=EC&ID=37175"
"6108",6107,"SIA/GJ/MIN/67434/2017","Blacktrap Mining Project by Gopi Quarry Works with area 06.00.00 ha. at 199 (P), Gopipura, Halol, Panchmahal, Gujarat","Non-Coal Mining","13 Nov 2017","13/11/2017","08/11/2017","13/11/2017","23/11/2017","24/11/2017","08/12/2017","11/12/2017","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/67434/2017&type=EC&ID=37184"
"6109",6108,"SIA/GJ/IND2/175003/2020","LABH PHARMASOL","Industrial Projects - 2","03 Feb 2021","26/09/2020","","","28/09/2020","29/11/2020","03/02/2021","22/02/2021","07/07/2021","02/07/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/175003/2020&type=EC&ID=132863"
"6110",6109,"SIA/GJ/MIN/61580/2017","Naranbhai Khemaji Vanzara","Non-Coal Mining","06 Jan 2017","06/01/2017","","","12/01/2017","","","16/01/2017","03/03/2017","15/03/2017","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/61580/2017&type=EC&ID=33510"
"6111",6110,"SIA/GJ/NCP/53346/2016","Bhaveshbhai A. Buha","INFRA-1","30 Apr 2016","30/04/2016","","","09/05/2016","","","10/05/2016","27/03/2017","24/04/2017","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/53346/2016&type=EC&ID=19761"
"6112",6111,"SIA/GJ/NCP/63630/2017","Sky Stella","INFRA-1","31 Mar 2017","31/03/2017","","","04/04/2017","","","11/04/2017","05/05/2017","01/05/2017","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/63630/2017&type=EC&ID=34751"
"6113",6112,"SIA/GJ/IND/29040/2017","M/s. Modheshwari Industries","Industrial Projects - 1","26 Sep 2018","26/09/2018","20/09/2018","26/09/2018","03/10/2018","05/10/2018","12/10/2018","15/10/2018","01/02/2019","29/01/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND/29040/2017&type=EC&ID=45674"
"6114",6113,"SIA/GJ/MIS/250727/2022","Divya Heights","INFRA-2","09 Jan 2022","09/01/2022","","","11/01/2022","","","19/01/2022","31/03/2022","22/04/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/250727/2022&type=EC&ID=197644"
"6115",6114,"SIA/GJ/MIS/250593/2022","Elite Mercury","INFRA-2","08 Jan 2022","08/01/2022","","","11/01/2022","","","19/01/2022","31/03/2022","22/04/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/250593/2022&type=EC&ID=197604"
"6116",6115,"SIA/GJ/IND2/266411/2022","Application for grant of EC for Onshore  Exploration for Oil and Gas from 2 wells in Block CB-ONN-2005/10 in Bharuch District.","Industrial Projects - 2","27 Jun 2022","27/06/2022","16/07/2022","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/266411/2022&type=EC&ID=201811"
"6117",6116,"SIA/GJ/MIS/267794/2022","Residential Cum Commercial Project by Haridwar Developers","INFRA-2","13 Apr 2022","13/04/2022","","","18/04/2022","","","30/04/2022","","08/09/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/267794/2022&type=EC&ID=202125"
"6118",6117,"SIA/GJ/MIN/75008/2020","SHRI MAHENDRABHAI BHIKHABHAI MANGUKIYA","Non-Coal Mining","10 Apr 2022","10/04/2022","","","12/04/2022","","","22/04/2022","","25/08/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/75008/2020&type=EC&ID=201978"
"6119",6118,"SIA/GJ/MIN/49604/2016","Anand Stone Crusher Pro. Ketanbhai Babubhai Kadivar","Non-Coal Mining","16 Feb 2016","16/02/2016","16/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49604/2016&type=EC&ID=13404"
"6120",6119,"SIA/GJ/MIN/40595/2016","Karabhai Arjanbhai Kandoriya","Non-Coal Mining","13 Jan 2016","13/01/2016","","","18/01/2016","","","25/01/2016","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/40595/2016&type=EC&ID=9449"
"6121",6120,"SIA/GJ/MIN/63014/2021","Shri Shivjibhai Karshanbhai Ahir","Non-Coal Mining","06 Aug 2022","06/08/2022","","","18/08/2022","","","29/08/2022","","08/12/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/63014/2021&type=EC&ID=208868"
"6122",6121,"SIA/GJ/INFRA2/401067/2022","EUPHORIA","INFRA-2","18 Nov 2022","17/10/2022","30/10/2022","","17/12/2022","","18/11/2022","22/12/2022","","11/04/2023","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/INFRA2/401067/2022&type=EC&ID=211620"
"6123",6122,"SIA/GJ/INFRA2/427095/2023","Samanvay Scintilla","INFRA-2","06 May 2023","25/04/2023","05/05/2023","06/05/2023","11/05/2023","","","26/05/2023","","16/12/2023","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/INFRA2/427095/2023&type=EC&ID=219059"
"6124",6123,"SIA/GJ/MIN/426713/2023","Harendrakumar Muljibhai Rohit Ordinary Sand Mine Project (Area - 2.30 Hect.)","Non-Coal Mining","19 Apr 2023","19/04/2023","","","31/05/2023","","","05/06/2023","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/426713/2023&type=EC&ID=218942"
"6125",6124,"SIA/GJ/MIN/424695/2023","Derol Ordinary Sand and Gravel Block-4 Mining Project","Non-Coal Mining","12 Aug 2023","04/04/2023","21/07/2023","12/08/2023","28/08/2023","","","26/09/2023","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/424695/2023&type=EC&ID=218402"
"6126",6125,"SIA/GJ/IND2/16200/2015","M/s. Swastik Laminates","Industrial Projects - 2","14 Jun 2016","14/06/2016","","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/16200/2015&type=EC&ID=22285"
"6127",6126,"SIA/GJ/IND2/176801/2020","M/S.ELIXIR PHARMA","Industrial Projects - 2","28 Dec 2020","30/09/2020","","","01/10/2020","24/11/2020","28/12/2020","05/01/2021","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/176801/2020&type=EC&ID=135440"
"6128",6127,"SIA/GJ/IND2/21344/2017","Woodbridge Foam Private Limited","Industrial Projects - 2","07 Jan 2020","07/01/2020","","","","","","","","24/06/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/21344/2017&type=EC&ID=77613"
"6129",6128,"SIA/GJ/IND2/155428/2020","M/s. Anjash Enterprise","Industrial Projects - 2","01 Jun 2020","01/06/2020","","","01/06/2020","","","09/07/2020","12/03/2021","03/11/2020","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/155428/2020&type=EC&ID=108420"
"6130",6129,"SIA/GJ/IND2/206565/2021","M/s. Neogen Chemicals Ltd.","Industrial Projects - 2","27 Mar 2021","27/03/2021","","","30/03/2021","","","30/03/2021","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/206565/2021&type=EC&ID=175460"
"6131",6130,"SIA/GJ/IND2/206603/2021","Proposed Expansion of Metformin HCL (1200 MT/Month to 4000 MT/Month) Manufacturing Plant in Existing Unit - M/s. Aarti Drugs Ltd.)","Industrial Projects - 2","27 Mar 2021","27/03/2021","","","30/03/2021","","","30/03/2021","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/206603/2021&type=EC&ID=175476"
"6132",6131,"SIA/GJ/IND2/206594/2021","M/s. Cadila Healthcare Ltd. (API Division)","Industrial Projects - 2","30 Mar 2021","30/03/2021","","","30/03/2021","","","30/03/2021","11/11/2021","22/12/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/206594/2021&type=EC&ID=175471"
"6133",6132,"SIA/GJ/IND2/206669/2021","M/s. Advatech Life Science Private Limited","Industrial Projects - 2","27 Mar 2021","27/03/2021","","","30/03/2021","","","30/03/2021","19/08/2021","14/10/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/206669/2021&type=EC&ID=175498"
"6134",6133,"SIA/GJ/IND2/206672/2021","M/s. Hindustan Silichem Private Limited","Industrial Projects - 2","27 Mar 2021","27/03/2021","","","30/03/2021","30/03/2021","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/206672/2021&type=EC&ID=175499"
"6135",6134,"SIA/GJ/IND2/206445/2021","M/s. Maruti Refractories","Industrial Projects - 2","27 Mar 2021","27/03/2021","","","30/03/2021","","","30/03/2021","16/04/2022","02/07/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/206445/2021&type=EC&ID=175416"
"6136",6135,"SIA/GJ/MIN/415420/2023","Shri Vrujlal Thakarshibhai Dudhagara","Non-Coal Mining","21 Jan 2023","21/01/2023","","","21/01/2023","","","24/01/2023","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/415420/2023&type=EC&ID=215548"
"6137",6136,"SIA/GJ/INFRA2/445392/2023","Vivanta Spero","INFRA-2","22 Sep 2023","22/09/2023","","","30/09/2023","","","04/11/2023","","12/02/2024","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/INFRA2/445392/2023&type=EC&ID=225479"
"6138",6137,"SIA/GJ/MIN/445197/2023","OLANGIYA BUILDING STONE BLOCK-1","Non-Coal Mining","21 Sep 2023","21/09/2023","22/09/2023","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/445197/2023&type=EC&ID=225416"
"6139",6138,"SIA/GJ/INFRA2/446305/2023","Residential Cum Commercial Project proposed by Shree Bhikhabhai Popatbhai Virani & Others","INFRA-2","29 Sep 2023","29/09/2023","","","30/09/2023","","","04/11/2023","","12/02/2024","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/INFRA2/446305/2023&type=EC&ID=226136"
"6140",6139,"SIA/GJ/MIN/48286/2016","VASVEL QUARTZITE QUARRY LEASE AREA SURVEY NO.-183P","Non-Coal Mining","07 Feb 2016","07/02/2016","09/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48286/2016&type=EC&ID=12121"
"6141",6140,"SIA/GJ/MIN/262292/2022","Vala Shamji Hamirbhai","Non-Coal Mining","17 Mar 2022","17/03/2022","","","19/03/2022","","","07/04/2022","","01/06/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/262292/2022&type=EC&ID=200630"
"6142",6141,"SIA/GJ/IND3/70874/2022","M/s. RAKESH AMBALAL PATEL","Industrial Projects - 3","24 Aug 2022","24/05/2022","","","26/05/2022","21/08/2022","24/08/2022","26/08/2022","","05/01/2023","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND3/70874/2022&type=EC&ID=201095"
"6143",6142,"SIA/GJ/IND/283752/2022","M/s. RADHARAMAN BUILDCON","Industrial Projects - 1","16 Jul 2022","16/07/2022","","","17/08/2022","","","21/08/2022","","06/12/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND/283752/2022&type=EC&ID=208945"
"6144",6143,"SIA/GJ/MIN/283805/2022","BHIMJIBHAI VELJI SORATHIYA","Non-Coal Mining","25 Jul 2022","16/07/2022","","","19/07/2022","25/07/2022","25/07/2022","25/07/2022","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/283805/2022&type=EC&ID=208961"
"6145",6144,"SIA/GJ/INFRA2/402859/2022","Times 40","INFRA-2","04 Nov 2022","11/10/2022","25/10/2022","04/11/2022","14/11/2022","","","16/11/2022","","01/02/2023","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/INFRA2/402859/2022&type=EC&ID=211421"
"6146",6145,"SIA/GJ/IND2/150865/2020","Proposed Bulk drug Intermediates 80 MT/Month Manufacturing Unit","Industrial Projects - 2","03 Apr 2020","03/04/2020","","","07/04/2020","","","14/04/2020","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/150865/2020&type=EC&ID=101081"
"6147",6146,"SIA/GJ/MIS/108594/2019","Proposed Residential Cum Commercial Building","INFRA-2","19 Jun 2019","19/06/2019","","","28/06/2019","","","04/07/2019","03/10/2019","04/11/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/108594/2019&type=EC&ID=56805"
"6148",6147,"SIA/GJ/MIS/144584/2020","Seventh Bliss","INFRA-2","15 Sep 2020","09/03/2020","08/06/2020","16/08/2020","18/08/2020","05/09/2020","15/09/2020","19/09/2020","24/03/2021","20/03/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/144584/2020&type=EC&ID=91640"
"6149",6148,"SIA/GJ/MIN/2195/2015","Sipai abdulkhan bhurekhan","Non-Coal Mining","16 Sep 2015","16/09/2015","","","","","","","24/11/2015","30/11/2015","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/2195/2015&type=EC&ID=3416"
"6150",6149,"SIA/GJ/MIN/48279/2016","RATANSING AMARSING OAD","Non-Coal Mining","07 Feb 2016","07/02/2016","09/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48279/2016&type=EC&ID=12114"
"6151",6150,"SIA/GJ/MIN/48282/2016","VASVEL QUARTZITE QUARRY LEASE AREA, SURVEY NO.-183","Non-Coal Mining","07 Feb 2016","07/02/2016","09/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48282/2016&type=EC&ID=12117"
"6152",6151,"SIA/GJ/MIN/48542/2016","Manojbhai Ramanbhai Oad
01-45-00","Non-Coal Mining","09 Feb 2016","09/02/2016","10/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48542/2016&type=EC&ID=12368"
"6153",6152,"SIA/GJ/IND3/247605/2021","Yogi Intermediates Pvt. Ltd.","Industrial Projects - 3","02 Feb 2022","29/12/2021","","","31/12/2021","12/01/2022","02/02/2022","03/02/2022","","10/10/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND3/247605/2021&type=EC&ID=195711"
"6154",6153,"SIA/GJ/IND3/247367/2021","D. G. CORP INDIA","Industrial Projects - 3","25 Dec 2021","25/12/2021","","","27/12/2021","","","31/12/2021","16/04/2022","01/06/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND3/247367/2021&type=EC&ID=195635"
"6155",6154,"SIA/GJ/MIS/249667/2022","Rivanta Garden City","INFRA-2","04 Jan 2022","04/01/2022","","","05/01/2022","","","19/01/2022","31/03/2022","07/05/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/249667/2022&type=EC&ID=197363"
"6156",6155,"SIA/GJ/IND3/76109/2021","Proposed Project for the Manufacturing of Dyes & Dyes Intermediates by Ardent Dye Chem Pvt. Ltd.","Industrial Projects - 3","22 Aug 2022","29/04/2022","","","05/05/2022","10/05/2022","22/08/2022","26/08/2022","","26/05/2023","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND3/76109/2021&type=EC&ID=202510"
"6157",6156,"SIA/GJ/MIS/269416/2022","Proposed Residential cum Commercial Building Project by Shri Hardik Mahasukhlal Parekh","INFRA-2","25 Apr 2022","25/04/2022","","","25/04/2022","","","02/05/2022","","29/09/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/269416/2022&type=EC&ID=202515"
"6158",6157,"SIA/GJ/MIS/270129/2022","Ayunam Greens","INFRA-2","29 Apr 2022","29/04/2022","","","05/05/2022","","","25/05/2022","","20/12/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/270129/2022&type=EC&ID=202660"
"6159",6158,"SIA/GJ/IND2/171476/2020","KB Pharmachem","Industrial Projects - 2","04 Sep 2020","04/09/2020","","","10/09/2020","","","30/09/2020","24/03/2021","11/05/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/171476/2020&type=EC&ID=126926"
"6160",6159,"SIA/GJ/MIN/172141/2020","maldebhai bachubhai parmar","Non-Coal Mining","12 Nov 2020","11/09/2020","","","18/09/2020","23/09/2020","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/172141/2020&type=EC&ID=129097"
"6161",6160,"SIA/GJ/MIS/188126/2020","Atlantis","INFRA-2","15 Dec 2020","15/12/2020","","","18/12/2020","","","02/01/2021","24/03/2021","19/04/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/188126/2020&type=EC&ID=148022"
"6162",6161,"SIA/GJ/IND2/161898/2020","Environmental clearance for proposed manufacturing of drug intermediates and synthetic organic chemicals plant by M/s Alliance Pharma under Cat. B2 in Existing Distillation unit at GIDC Dahej-II.","Industrial Projects - 2","09 Jul 2020","04/07/2020","08/07/2020","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/161898/2020&type=EC&ID=115722"
"6163",6162,"SIA/GJ/IND2/164525/2020","Parson Industries - Manufacture of Pharma Intermediates","Industrial Projects - 2","23 Jul 2020","23/07/2020","","","11/08/2020","","","05/09/2020","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/164525/2020&type=EC&ID=116381"
"6164",6163,"SIA/GJ/IND2/171043/2020","Hitesh Chemical Industries","Industrial Projects - 2","29 Sep 2020","03/09/2020","","","07/09/2020","27/09/2020","29/09/2020","30/09/2020","10/03/2021","03/04/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/171043/2020&type=EC&ID=126810"
"6165",6164,"SIA/GJ/IND2/176023/2020","Proposed Project by Maharshi Pharma Chem Pvt. Ltd. (Unit –II)","Industrial Projects - 2","28 Sep 2020","28/09/2020","","","29/09/2020","","","04/11/2020","24/03/2021","11/05/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/176023/2020&type=EC&ID=134187"
"6166",6165,"SIA/GJ/IND2/175702/2020","M/s. Jayveer pharma chem","Industrial Projects - 2","26 Sep 2020","26/09/2020","","","28/09/2020","","","28/10/2020","24/03/2021","19/04/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/175702/2020&type=EC&ID=134077"
"6167",6166,"SIA/GJ/MIN/67255/2017","AT:FANSA TA:UMERGAM SR.NO:407/1 P-00.80.00 Ha BLACKTRAP PROJECT","Non-Coal Mining","07 Aug 2017","07/08/2017","28/08/2017","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/67255/2017&type=EC&ID=37100"
"6168",6167,"SIA/GJ/MIN/50073/2016",""" M/s. Jalaram Stone Quarry""","Non-Coal Mining","20 Feb 2016","20/02/2016","22/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/50073/2016&type=EC&ID=13943"
"6169",6168,"SIA/GJ/MIN/39598/2016","Jasuji Kalaji Vanjara","Non-Coal Mining","10 Jan 2016","10/01/2016","","","12/01/2016","","","16/01/2016","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/39598/2016&type=EC&ID=8559"
"6170",6169,"SIA/GJ/MIN/42876/2016","Dhamiben Bhupatbhai Sorathiya & Somatbhai Bavabhai","Non-Coal Mining","01 Feb 2016","01/02/2016","01/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/42876/2016&type=EC&ID=11582"
"6171",6170,"SIA/GJ/MIN/73755/2018","CARBORUNDUM UNIVERSAL LTD","Non-Coal Mining","28 Mar 2018","28/03/2018","20/04/2018","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/73755/2018&type=EC&ID=43078"
"6172",6171,"SIA/GJ/NCP/52746/2016","OM PALACE","INFRA-1","11 Apr 2016","11/04/2016","11/04/2016","11/04/2016","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/52746/2016&type=EC&ID=17300"
"6173",6172,"SIA/GJ/IND3/238678/2021","M/s. Regal Remedies Ltd. (Unit-I)","Industrial Projects - 3","20 Jan 2022","29/11/2021","","","01/12/2021","10/12/2021","20/01/2022","28/01/2022","","15/07/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND3/238678/2021&type=EC&ID=193336"
"6174",6173,"SIA/GJ/MIS/103624/2019","Slum Rehabilitation Scheme","INFRA-2","27 Apr 2019","27/04/2019","","","02/05/2019","","","16/05/2019","09/07/2019","29/01/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/103624/2019&type=EC&ID=55203"
"6175",6174,"SIA/GJ/INFRA2/424685/2023","Synergy sky villa by Stallion Builders LLP","INFRA-2","03 Apr 2023","03/04/2023","","","13/04/2023","","","02/05/2023","","02/08/2023","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/INFRA2/424685/2023&type=EC&ID=218375"
"6176",6175,"SIA/GJ/MIN/423704/2023","Sangavada Building Limestone Mining Project, Survey No. 28(Part)","Non-Coal Mining","28 Mar 2023","28/03/2023","","","10/04/2023","","","13/04/2023","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/423704/2023&type=EC&ID=218131"
"6177",6176,"SIA/GJ/MIN/424974/2023","Pipalsat Ordinary Sand Block-3 Mining Project of Rupesh Patel","Non-Coal Mining","08 Apr 2023","08/04/2023","","","30/05/2023","","","02/06/2023","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/424974/2023&type=EC&ID=218563"
"6178",6177,"SIA/GJ/MIN/425492/2023","Bhogat Limestone Mine, Survey No. 158/P","Non-Coal Mining","10 Apr 2023","10/04/2023","","","19/04/2023","","","27/04/2023","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/425492/2023&type=EC&ID=218633"
"6179",6178,"SIA/GJ/MIN/425792/2023","Shri Goswami Sundarpuri Kanpuri","Non-Coal Mining","12 Apr 2023","12/04/2023","","","19/04/2023","","","27/04/2023","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/425792/2023&type=EC&ID=218709"
"6180",6179,"SIA/GJ/MIS/116399/2019","Residential Cum  Commercial","INFRA-2","31 Aug 2019","31/08/2019","","","11/09/2019","","","01/10/2019","08/01/2020","05/12/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/116399/2019&type=EC&ID=63006"
"6181",6180,"SIA/GJ/MIS/116882/2019","Affordable Housing Building","INFRA-2","26 Sep 2019","26/09/2019","11/09/2019","26/09/2019","09/10/2019","","","14/10/2019","","05/02/2020","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/116882/2019&type=EC&ID=63183"
"6182",6181,"SIA/GJ/MIN/35188/2015","Aarif Ibrahim Dhantiya","Non-Coal Mining","08 Jan 2016","08/01/2016","21/12/2015","08/01/2016","08/01/2016","","","11/01/2016","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/35188/2015&type=EC&ID=4439"
"6183",6182,"SIA/GJ/MIS/213477/2021","RAJESHKUMAR A. PATEL","INFRA-2","30 May 2021","30/05/2021","","","01/06/2021","","","10/06/2021","19/08/2021","08/10/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/213477/2021&type=EC&ID=188017"
"6184",6183,"SIA/GJ/MIN/48240/2016","Kalpna I. Jani","Non-Coal Mining","06 Feb 2016","06/02/2016","09/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48240/2016&type=EC&ID=12075"
"6185",6184,"SIA/GJ/IND2/160118/2020","Sunchem Pharma And Intermediate","Industrial Projects - 2","24 Jun 2020","24/06/2020","","","25/06/2020","","","25/07/2020","07/07/2021","24/12/2020","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/160118/2020&type=EC&ID=114288"
"6186",6185,"SIA/GJ/IND2/175477/2020","ACTIVE LABORATORIES","Industrial Projects - 2","04 Feb 2021","26/09/2020","","","28/09/2020","29/11/2020","04/02/2021","22/02/2021","07/07/2021","22/09/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/175477/2020&type=EC&ID=133996"
"6187",6186,"SIA/GJ/MIS/230897/2021","Vardan Sky - Proposed Residential cum Commercial Project (High Rise)","INFRA-2","23 Sep 2021","23/09/2021","","","24/09/2021","","","01/10/2021","27/01/2022","03/03/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/230897/2021&type=EC&ID=191490"
"6188",6187,"SIA/GJ/MIS/195754/2021","Proposed Residential Cum Commercial Project","INFRA-2","31 Jan 2021","31/01/2021","","","03/02/2021","","","23/02/2021","19/08/2021","02/07/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/195754/2021&type=EC&ID=162738"
"6189",6188,"SIA/GJ/IND2/60892/2019","M/s. Shreeji Pigment","Industrial Projects - 2","18 Feb 2021","18/02/2021","","","02/03/2021","","","16/03/2021","16/04/2022","28/04/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/60892/2019&type=EC&ID=164462"
"6190",6189,"SIA/GJ/IND2/196525/2021","M/s. Innovative Specialty Chemicals","Industrial Projects - 2","04 Feb 2021","04/02/2021","","","05/02/2021","","","25/02/2021","08/09/2021","14/10/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/196525/2021&type=EC&ID=162914"
"6191",6190,"SIA/GJ/IND2/61491/2019","Proposed Dyes and intermediates manufacturing unit, (140.26 MT/Month existing + 340.03 MT/Month Proposed)","Industrial Projects - 2","07 May 2021","05/03/2021","","","18/03/2021","23/03/2021","07/05/2021","11/05/2021","25/04/2022","14/07/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/61491/2019&type=EC&ID=171145"
"6192",6191,"SIA/GJ/NCP/69860/2017","Gokulam Belleza","INFRA-1","26 Sep 2017","26/09/2017","","","07/10/2017","","","10/10/2017","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/69860/2017&type=EC&ID=38713"
"6193",6192,"SIA/GJ/MIN/71190/2017","AT:TAKKARVADA TA:VALSAD SR.NO:287P1,1.00.00 HA BLACKTRAP QUARRY PERMIT PROJECT","Non-Coal Mining","24 Nov 2017","24/11/2017","16/12/2017","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/71190/2017&type=EC&ID=40418"
